310    0.2    0.1
340    0.6    0.1
370    1.2    0.1
400    1.9    0.2
430    2.8    0.2
460    3.9    0.2
490    5.3    0.2
520    7.0    0.2
550    9.1    0.2
580   12.0    0.2
610   15.9    0.3
640   20.7    0.5
670   28.7    2.6
700   40.6    1.1
730   56.1    0.8
760   79.0    0.8
790  101.8    0.9
820  118.0    1.9
850  128.3    2.0
880  142.0    1.3
910  147.0    1.2
940  150.5    1.2
970  153.3    1.2
1000  154.3    0.7
1030  156.7    0.9
1060  159.0    1.0
1090  161.1    1.3
1120  163.1    1.6
1150  164.6    1.8
1180  166.2    2.2
1200  167.0    2.4
