825    14.70000        1.200000      
835    19.70000        1.100000    
845    23.50000        1.200000    
855    30.00000        0.900000    
865    40.80000        1.100000    
875    52.40000        1.300000    
885    65.10000        2.400000    
895    93.30000        4.600000    
905    107.9000        2.400000    
915    122.5000        1.400000    
925    131.8000        1.500000    
935    140.9000        1.400000    
945    149.8000        1.300000    
965    154.6000        1.500000    
985    158.5000        1.500000    
1010     166.0000        1.400000    
1030     166.5000        1.300000 
1070       169.8000        1.500000  
1110       172.8000        1.900000    
1150       172.3000        1.900000    
1190       161.6000        5.300000    
1230       159.8000        7.900000    
1270       150.4000        6.400000    
1310       121.8000        21.30000    
1330       134.9000        13.30000    
1350       133.8000        13.40000    
1370       137.8000        10.50000    
1390       131.5000        10.30000    
1410       151.9000        12.60000    
1430       136.6000        13.40000    
1450       154.4000        13.40000
1470       145.7000        18.70000    
1490       136.6000        14.30000    
1510       112.8000        13.90000    
1530       106.4000        9.700000    
1550       114.8000        10.70000    
1580       94.20000        8.900000    
1620       90.30000        6.700000    
1660       104.2000        6.100000    
1700       112.5000        5.500000    
1740       136.8000        5.100000    
1780       158.1000        5.000000    
1820       165.0000        5.500000 
1860       139.2000        6.000000    
1920       107.4000        5.700000    
1960       98.10000        6.300000    
2000       115.1000        9.500000    
2040       93.70000        5.400000    
2080       101.3000        8.400000    
2120       108.1000        5.100000    
2160       111.3000        7.100000    
2200       117.8000        15.40000    
2240       130.4000        12.30000    
2280       116.3000        11.20000  
2320       113.5000        13.90000    
2380       120.1000        9.400000    
2440       128.1000        11.60000    
2520       124.4000        12.10000
