 610	0.712	0.292       
 630	1.146	0.321
 650	1.140	0.342
 670	1.035	0.345
 690	0.744	0.379
 710	1.023	0.246
 730	0.981	0.346
 750	1.065	0.228
 770	1.066	0.260
 790	1.108	0.238
 810	1.041	0.115
 830	0.963	0.399
 850	0.990	0.293
 870	0.800	0.332
 890	0.942	0.321
 910	0.771	0.242
 930	1.104	0.201
 950	0.966	0.308
 970	0.888	0.245
 990	1.096	0.245
1010	0.598	0.774
1030	0.275	0.625
1050	0.611	0.527
1070	0.418	0.333
1090	0.507	0.532
1110	0.487	0.345
1130	0.494	1.080
1150	0.567	0.380
1170	0.423	0.648
1190	0.323	0.427
1210	0.582	0.441
1230	0.598	0.357
1250	0.798	0.453
1270	0.702	0.309
1290	0.736	0.250
1310	1.184	0.339
1330	0.730	0.243
1350	0.896	0.350
1370	0.747	0.416
1390	0.857	0.483
1410	0.750	0.354
1430	0.657	0.350
1450	0.658	0.477
1470	1.177	0.420
1490	0.711	0.546
1510	0.930	0.298
1530	0.530	0.471
1550	0.478	0.395
1570	0.763	0.948
1590	1.524	0.409
