χ²,L1,L2,L3,L4,L5,L6,L7,L8,c
406.4280815937788,0.0005459878148530425,0.0010701301993285485,-0.0027564880542366686,-0.00020152530633658441,0.001128991790511451,7.0e-5,-0.0005246023702030587,0.0006808508538578464,0.00010921283852569315
407.4286259397312,0.0005278023580956062,0.0010440730067242537,-0.0027313768976782176,-0.0002123277191208197,0.0013912954547890724,7.0e-5,-0.000571989681578286,0.0008241269676097656,0.00010956270123350577
407.42765227317744,0.0005640288384777102,0.0010979401052839692,-0.0027816003059858044,-0.00019316062857761953,0.0008532945546940022,7.0e-5,-0.00047233505515799476,0.0005248185078581053,0.0001088406241462071
407.4308779060585,0.0005300303728204496,0.0010402167663547783,-0.0027334298223310937,-0.0002034989511804038,0.00142304755287591,7.0e-5,-0.000580100590562642,0.0008510353632889395,0.00011007038905442624
407.4255359306987,0.0005622568421068736,0.0011006967857535353,-0.002779839643068368,-0.00019953485733302593,0.0008280641445817002,7.0e-5,-0.00046624368138902276,0.0005045010944332459,0.00010847569372094785
407.4279486549501,0.0005591658265590297,0.0010908630420581285,-0.0027912778652094,-0.00019471036051708787,0.000570198441623806,7.0e-5,-0.00043542147733655957,0.0004274144540520529,0.00011081058766978453
407.4282857607688,0.0005326965308938174,0.0010499983972274154,-0.002722286050144461,-0.00020920112234074423,0.001666572301843364,7.0e-5,-0.0006107671068233027,0.0009256521564761342,0.00010761252132788594
407.42562878346547,0.000536009006783146,0.0010670999989740742,-0.0027428633764063877,-0.00022162581988080282,0.0012545244670580157,7.0e-5,-0.0005397088841103377,0.0007211495221520374,0.0001080884981884589
407.43252235858665,0.0005550669779528123,0.001074196768696911,-0.0027703881747897937,-0.00018597714686609972,0.0010037415733838055,7.0e-5,-0.0005076303107742749,0.0006358841545941985,0.00011011777218414398
407.4258683324488,0.0005543637290535176,0.001085310590574377,-0.0027881091290012047,-0.00019767381391290454,0.0005140271099649106,7.0e-5,-0.00042968038985413177,0.00041317852834408316,0.00011135643384202243
407.4296466938806,0.0005368295147397847,0.0010523638999538742,-0.0027268006580387577,-0.0002041358907960215,0.0016976783298342443,7.0e-5,-0.0006304934232020411,0.0009644829349354674,0.00010618406530633548
407.424812218166,0.0005468148410576067,0.0010726173403225127,-0.002751319485157672,-0.0002031569765473357,0.0012562693612697714,7.0e-5,-0.0005729343883888073,0.0007610067881480965,9.899516674436713e-5
407.43116301264314,0.0005456355653500426,0.0010683897234931366,-0.002761552888433834,-0.0001998015569279389,0.0010122757845514412,7.0e-5,-0.00046365848175057133,0.0005853149091070332,0.00012013017282387513
407.42794773239075,0.0005591434462762727,0.0010908203784368046,-0.0027912778652094,-0.00019470943186699106,0.0005699663253959978,7.0e-5,-0.0004353424549411861,0.00042734411146128277,0.00011082181774227608
407.43002333949715,0.0005620660380300441,0.0011006967857535353,-0.0027781280983861364,-0.0002000359479214196,0.0008597236489301987,7.0e-5,-0.0004703474530441945,0.0005160768852239993,0.00010831517198308979
407.4289666612579,0.0005302162157817519,0.001040257247610008,-0.0027338458554408635,-0.00020311192542134124,0.0014179511022653108,7.0e-5,-0.0005795407534929888,0.0008495447550001243,0.0001101025292301428
407.4281144647841,0.0005290885624994503,0.0010501707460615674,-0.002732730423266411,-0.00021755345090095055,0.0013913170582495445,7.0e-5,-0.0005679291705368214,0.0008093854957452061,0.0001088795466398354
407.4256947896324,0.0005360641563551428,0.001067200960128344,-0.0027429513253606507,-0.00022162581988080282,0.0012542033503335631,7.0e-5,-0.0005396270133876618,0.0007210817441080774,0.00010808427144342085
407.4280856739644,0.000549380910480901,0.0010887095280341685,-0.0027615830425515974,-0.0002157108031689711,0.0010270379113958077,7.0e-5,-0.0004975945370500382,0.0005945785385796891,0.00010781247664686532
407.4477865823963,0.0005634093560408401,0.0011006967857535353,-0.002781628771542754,-0.00019691588226665856,0.0008115770714871781,7.0e-5,-0.0004643891497378759,0.0004999342527861238,0.00010866328261558943
407.42808417157784,0.0005549620998573733,0.001074021795479687,-0.002770252806013697,-0.00018600483330639202,0.0010047408774068055,7.0e-5,-0.0005082624615032954,0.0006370632314948298,0.00011013339290616046
407.42809997740864,0.000543665627227751,0.0010543292577553528,-0.0027536228590266847,-0.00018901171569892373,0.0012137346721969081,7.0e-5,-0.0005469509306266395,0.0007544190299955939,0.00011053903127557144
407.4280860414262,0.0005560063993992695,0.0010891758661358754,-0.0027531539105868077,-0.00020284820118290824,0.0013664744058767741,7.0e-5,-0.0005402161286584286,0.000726851343080066,0.00010720788821894073
407.4281952610513,0.0005606583375073931,0.0010979422610511438,-0.0027680613690514153,-0.00020118320939709487,0.0010816537382542918,7.0e-5,-0.0005012829005766575,0.0006059773651667072,0.00010756194773857098
